v0, k0, x, y, yaw, km, kf, sf
0,-2.70709,1.05318,-2.43451,-2.72977,0.354649,-0.559197,3.72547
0,-2.70709,1.02758,-1.9698,-2.6605,0.222103,-0.521276,3.27251
0,-2.70709,1.51258,-1.97909,-2.457,0.330132,-0.56426,3.51848
0,-2.70709,0.94556,-1.48453,-2.61122,0.189166,-0.562963,2.82486
0,-2.70709,1.90677,-1.47634,-2.22764,0.394311,-0.61655,3.42934
0,-2.70709,1.57444,-1.06014,-2.1783,0.38267,-0.668412,2.87197
0,-2.70709,-0.927196,-2.96836,-2.92297,0.347221,-0.413583,4.21389
0,-2.70709,-0.484213,-2.9929,-2.67965,0.311972,-0.379672,4.03789
0,-2.70709,-0.0175956,-2.96784,-2.59789,0.312982,-0.395506,3.9413
0,-2.70709,0.531718,-2.91091,-2.44484,0.366015,-0.439478,3.98895
0,-2.70709,-0.952874,-2.47343,-2.98693,0.143007,-0.309347,3.65583
0,-2.70709,1.00819,-2.47455,-2.25297,0.260525,-0.396828,3.56397
0,-2.70709,1.54305,-2.41978,-2.07511,0.444083,-0.495225,4.00447
0,-2.70709,0.968466,-2.02273,-2.18191,0.131987,-0.345499,3.15537
0,-2.70709,1.56986,-1.932,-1.93706,0.246978,-0.402561,3.35283
0,-2.70709,2.00396,-1.92993,-1.83521,0.466533,-0.51714,3.92879
0,-2.70709,0.0365191,-1.46316,-2.61693,-0.206496,-0.218665,2.59651
0,-2.70709,0.979613,-1.59567,-2.05903,0.0915912,-0.346413,2.79081
0,-2.70709,1.48904,-1.57362,-1.88288,0.229285,-0.414372,3.02575
0,-2.70709,1.98924,-1.45236,-1.70632,0.340278,-0.464718,3.32041
0,-2.70709,1.5418,-1.04386,-1.66134,0.277887,-0.467302,2.70764
0,-2.70709,1.9664,-0.951798,-1.44559,0.379615,-0.484378,3.0053
0,-2.70709,-0.941585,-2.98961,-2.4197,0.28303,-0.270564,4.11224
0,-2.70709,-0.430906,-2.97048,-2.25621,0.238776,-0.247282,3.89174
0,-2.70709,0.00133764,-2.97257,-2.12811,0.250995,-0.259647,3.84595
0,-2.70709,0.529862,-2.9767,-1.94788,0.329695,-0.306999,3.9833
0,-2.70709,-1.94682,-2.46755,-2.76226,0.217214,-0.221331,4.1119
0,-2.70709,-0.97391,-2.48728,-2.49009,0.0702893,-0.147598,3.5652
0,-2.70709,-0.475257,-2.45692,-2.29783,0.0294091,-0.127044,3.38515
0,-2.70709,-0.0102625,-2.44994,-2.10805,0.0332713,-0.132845,3.30685
0,-2.70709,0.503159,-2.43979,-1.90239,0.0792372,-0.16348,3.31071
0,-2.70709,0.999446,-2.46265,-1.73704,0.175373,-0.223517,3.44324
0,-2.70709,1.53813,-2.41877,-1.54374,0.333792,-0.317168,3.77091
0,-2.70709,-2.48005,-1.99239,-3.0606,0.20505,-0.223727,4.18046
0,-2.70709,-0.919878,-2.0368,-2.53214,-0.0903234,-0.0610996,3.23051
0,-2.70709,0.9979,-2.00548,-1.65191,0.0484685,-0.158266,3.05459
0,-2.70709,1.56626,-1.927,-1.43267,0.17024,-0.22909,3.25471
0,-2.70709,2.0304,-1.90986,-1.32161,0.354913,-0.339062,3.68346
0,-2.70709,1.00622,-1.52759,-1.40934,-0.0520665,-0.0780939,2.64584
0,-2.70709,1.4881,-1.58246,-1.38521,0.135036,-0.219256,2.94059
0,-2.70709,2.00218,-1.43188,-1.15835,0.26526,-0.287843,3.23482
0,-2.70709,1.43987,-1.05079,-1.23346,0.130431,-0.243304,2.56565
0,-2.70709,1.9123,-1.00135,-0.981775,0.270108,-0.281922,2.91068
0,-2.70709,-0.947475,-2.98401,-1.91566,0.273462,-0.157631,4.19049
0,-2.70709,-0.406303,-2.97736,-1.75034,0.211818,-0.119412,3.91022
0,-2.70709,0.000943347,-2.97544,-1.61473,0.221437,-0.125847,3.8653
0,-2.70709,0.568465,-2.9457,-1.42934,0.322184,-0.193178,4.06208
0,-2.70709,-1.98724,-2.49464,-2.29479,0.214724,-0.119589,4.20264
0,-2.70709,-0.926016,-2.52747,-1.96687,0.0275378,8.40338e-05,3.54352
0,-2.70709,-0.469802,-2.5056,-1.79749,-0.00645345,0.0214106,3.39085
0,-2.70709,1.00514,-2.45947,-1.21515,0.128526,-0.0647994,3.42683
0,-2.70709,1.48023,-2.44979,-1.0886,0.315594,-0.196108,3.83303
0,-2.70709,0.955174,-1.94603,-1.12185,-0.0614188,0.0627883,2.95955
0,-2.70709,1.50838,-2.00002,-0.966046,0.106043,-0.0539674,3.24644
0,-2.70709,2.00139,-1.90349,-0.761772,0.400389,-0.236616,3.96011
0,-2.70709,0.48177,-1.47502,-1.27567,-0.369266,0.22976,2.43145
0,-2.70709,1.00891,-1.43205,-0.880649,-0.18723,0.165226,2.54769
0,-2.70709,1.48741,-1.57304,-0.858106,0.0452924,-0.012829,2.9082
0,-2.70709,2.01393,-1.40675,-0.63463,0.195151,-0.107573,3.21917
0,-2.70709,1.46697,-0.934327,-0.639393,0.00259636,0.0098061,2.49218
0,-2.70709,1.92061,-0.967667,-0.44777,0.18242,-0.0738951,2.88537
0,-2.70709,2.00714,-0.544236,-0.233505,0.254741,-0.109718,2.82738
0,-2.70709,-1.44201,-2.44907,-1.62521,0.0599839,0.0986917,3.80249
0,-2.70709,-0.956748,-2.41373,-1.46771,-0.0342602,0.168798,3.50798
0,-2.70709,-0.463587,-2.4406,-1.25988,-0.0634687,0.195357,3.36344
0,-2.70709,0.517595,-2.48179,-0.895428,0.0223114,0.132291,3.36447
0,-2.70709,1.04387,-2.45529,-0.699791,0.142977,0.0469048,3.5488
0,-2.70709,0.0717563,-2.0025,-1.06145,-0.261023,0.330766,2.89501
0,-2.70709,0.505619,-1.97924,-0.846666,-0.216572,0.299913,2.88425
0,-2.70709,1.00501,-1.98972,-0.630087,-0.0834802,0.213682,3.0326
0,-2.70709,1.53278,-1.94718,-0.423487,0.0825833,0.0971313,3.28042
0,-2.70709,1.46389,-1.5518,-0.352831,-0.0316192,0.185353,2.91496
0,-2.70709,1.9802,-1.48075,-0.167735,0.155984,0.0459784,3.31472
0,-2.70709,1.43165,-0.957477,-0.149624,-0.114619,0.256653,2.48719
0,-2.70709,1.94137,-0.936364,0.0531275,0.11631,0.104004,2.94429
0,-2.70709,2.01262,-0.424015,0.348921,0.203934,0.0742382,2.88414
0,-2.70709,1.48251,-0.0469165,0.33506,0.135285,0.132724,2.23901
0,-2.70709,-0.931059,-2.43226,-0.941793,0.00566516,0.255175,3.68042
0,-2.70709,-0.46258,-2.50306,-0.762452,-0.000411017,0.264098,3.58134
0,-2.70709,0.532922,-2.4269,-0.405163,0.0311249,0.239917,3.46072
0,-2.70709,0.989609,-1.94556,-0.109297,-0.095176,0.362919,3.09333
0,-2.70709,1.53408,-1.92628,0.0738711,0.16147,0.153066,3.54704
0,-2.70709,1.4619,-1.05514,0.339929,-0.153339,0.435789,2.64085
0,-2.70709,2.00128,-0.931051,0.563484,0.108488,0.223196,3.16232
0,-2.70709,1.50327,0.0504678,0.934789,0.0529654,0.364056,2.33259
0,-2.70709,-1.47828,-1.99298,-0.743469,0.00625027,0.348788,3.87834
0,-2.70709,-0.939287,-2.01505,-0.50332,-0.152611,0.494676,3.44074
0,-2.70709,0.0156693,-1.96325,-0.0488851,-0.259552,0.608156,3.06204
0,-2.70709,1.00757,-1.97209,0.374133,0.0179637,0.381541,3.39007
0,-2.70709,1.51493,-1.48353,0.672312,0.0103757,0.394801,3.2211
0,-2.70709,1.49664,-0.907678,0.906996,-0.14917,0.573568,2.72419
0,-2.16709,-0.0290935,-3.48508,-2.97763,0.295453,-0.41498,4.82237
0,-2.16709,0.983385,-2.96398,-2.98721,0.290738,-0.489287,4.50265
0,-2.16709,1.5543,-2.92808,-2.65248,0.373812,-0.504122,4.79179
0,-2.16709,2.02748,-2.44649,-2.44838,0.350609,-0.503549,4.53114
0,-2.16709,1.48802,-1.94425,-2.48214,0.132721,-0.415743,3.72708
0,-2.16709,2.46149,-1.96088,-2.23336,0.385702,-0.522724,4.54253
0,-2.16709,1.5021,-1.48681,-2.34536,0.0651467,-0.407182,3.43694
0,-2.16709,2.00105,-1.47187,-2.16573,0.174684,-0.442659,3.69767
0,-2.16709,2.50206,-1.4905,-2.11862,0.320874,-0.512947,4.15551
0,-2.16709,1.50117,-0.999346,-2.16234,-0.000571288,-0.402313,3.14526
0,-2.16709,2.43721,-0.937616,-1.90019,0.247513,-0.483478,3.77524
0,-2.16709,2.92395,-0.457997,-1.67477,0.437709,-0.565952,4.39296
0,-2.16709,1.52663,0.0447094,-1.55192,-0.0178248,-0.444285,2.78414
0,-2.16709,1.98016,0.000969742,-1.54554,0.120641,-0.468436,3.15599
0,-2.16709,0.939504,0.560647,-1.04857,-0.122257,-0.482743,2.28164
0,-2.16709,2.47568,0.543858,-1.33407,0.323613,-0.547164,3.65043
0,-2.16709,1.47954,1.01957,-0.938226,0.140752,-0.511174,2.87087
0,-2.16709,2.47868,0.972948,-1.22128,0.417233,-0.597278,3.88246
0,-2.16709,0.0504729,1.58533,-0.102193,0.548261,-0.84632,2.43621
0,-2.16709,0.988956,1.49007,-0.593626,0.195771,-0.561803,2.78546
0,-2.16709,1.47507,1.49689,-0.751431,0.274786,-0.569167,3.11684
0,-2.16709,1.93464,1.51691,-0.897217,0.380788,-0.592266,3.54039
0,-2.16709,-0.0956011,2.01752,0.0672248,0.414335,-0.685431,2.8937
0,-2.16709,0.441147,2.00649,-0.256641,0.358167,-0.646075,2.98161
0,-2.16709,0.956718,1.96024,-0.425761,0.356984,-0.614832,3.15032
0,-2.16709,1.43653,2.00825,-0.604943,0.455421,-0.638989,3.60623
0,-2.16709,-1.49666,-3.48462,-2.94271,0.276007,-0.318768,5.10637
0,-2.16709,-0.496457,-3.49936,-2.73344,0.231626,-0.313201,4.70929
0,-2.16709,0.00273816,-3.49601,-2.57021,0.24071,-0.319876,4.65784
0,-2.16709,0.550817,-3.4664,-2.46598,0.281062,-0.354561,4.71651
0,-2.16709,-0.940782,-2.9212,-2.82275,0.0818822,-0.217675,4.24266
0,-2.16709,1.04618,-2.94353,-2.28612,0.186164,-0.311589,4.20525
0,-2.16709,1.51802,-3.00318,-2.15164,0.283789,-0.364212,4.51413
0,-2.16709,1.022,-2.45808,-2.2289,0.0750546,-0.263063,3.78777
0,-2.16709,1.5025,-2.50138,-2.10388,0.160963,-0.310484,3.98496
0,-2.16709,2.01067,-2.477,-1.94403,0.259645,-0.358661,4.2676
0,-2.16709,1.51946,-1.96744,-1.95908,0.0625256,-0.269178,3.59909
0,-2.16709,2.50862,-1.97553,-1.71452,0.309827,-0.393151,4.31967
0,-2.16709,2.52281,-1.42003,-1.5647,0.229345,-0.356109,3.90549
0,-2.16709,1.9664,-0.979072,-1.50207,0.0367912,-0.275354,3.2755
0,-2.16709,2.46443,-0.981379,-1.42106,0.175929,-0.33324,3.64183
0,-2.16709,2.98681,-0.935723,-1.37013,0.381305,-0.439476,4.36541
0,-2.16709,2.9971,-0.486612,-1.23699,0.364289,-0.437399,4.18333
0,-2.16709,1.95555,-0.0161184,-1.04718,0.0210861,-0.287944,2.99316
0,-2.16709,2.97862,0.046368,-1.04154,0.392784,-0.458594,4.17633
0,-2.16709,1.99279,0.494467,-0.817263,0.0910571,-0.330906,3.03135
0,-2.16709,2.49176,0.513025,-0.850205,0.243468,-0.39291,3.49364
0,-2.16709,1.49186,0.999751,-0.469809,0.0470169,-0.325201,2.74079
0,-2.16709,1.99293,1.00219,-0.589782,0.179683,-0.371899,3.1433
0,-2.16709,2.49563,0.986699,-0.695965,0.329349,-0.441211,3.66677
0,-2.16709,0.0716425,1.56714,0.405565,0.433109,-0.61225,2.31888
0,-2.16709,0.980063,1.49355,-0.0286041,0.0940872,-0.347981,2.64691
0,-2.16709,1.47961,1.51013,-0.262899,0.193476,-0.393465,2.98675
0,-2.16709,1.9534,1.52167,-0.395587,0.301974,-0.435542,3.38607
