v0, k0, x, y, yaw, km, kf, sf
0,-2.70709,0.0515174,-1.46409,3.09772,0.399239,-0.563405,2.10207
0,-2.70709,0.972798,-0.981508,-2.30164,0.487992,-0.62002,2.02931
0,-2.70709,0.954994,-0.435607,-1.98046,0.381357,-0.630381,1.53082
0,-2.70709,-0.473396,-1.48639,-2.92844,0.297972,-0.377425,2.09153
0,-2.70709,0.0471664,-1.48096,-2.58251,0.287959,-0.38808,1.97993
0,-2.70709,0.526333,-1.41513,-2.29067,0.417252,-0.465194,2.09067
0,-2.70709,1.00815,-0.964527,-1.84035,0.365508,-0.457083,1.87039
0,-2.70709,0.946674,-0.44389,-1.47593,0.283789,-0.444025,1.46207
0,-2.70709,-0.486517,-1.49742,-2.4344,0.24018,-0.240817,2.05203
0,-2.70709,0.0224749,-1.49356,-2.1073,0.222373,-0.239384,1.93686
0,-2.70709,0.534334,-1.43445,-1.7487,0.366418,-0.32446,2.06336
0,-2.70709,-0.966341,-0.961538,-2.82834,0.017069,-0.0893862,1.8713
0,-2.70709,1.00043,-0.97738,-1.30611,0.286869,-0.288657,1.81525
0,-2.70709,0.9767,-0.426532,-0.956239,0.206599,-0.255558,1.44031
0,-2.70709,-0.481102,-1.48886,-1.91421,0.209313,-0.11353,2.05672
0,-2.70709,0.0285098,-1.49291,-1.59493,0.185719,-0.101792,1.93483
0,-2.70709,0.512774,-1.4049,-1.25585,0.373816,-0.225399,2.13615
0,-2.70709,-0.970022,-1.02069,-2.36823,0.0133034,0.0128253,1.89928
0,-2.70709,0.967174,-0.942819,-0.774772,0.189091,-0.0971595,1.74061
0,-2.70709,1.00694,-0.549554,-0.538665,0.117169,-0.0570508,1.51382
0,-2.70709,-0.450306,-1.45629,-1.41075,0.243563,-0.037586,2.15706
0,-2.70709,0.0715362,-1.46593,-1.05411,0.195239,0.00254225,1.99119
0,-2.70709,-0.963041,-1.02988,-1.84771,-0.0051929,0.139111,1.92016
0,-2.70709,0.987083,-0.929601,-0.281956,0.247922,-0.027198,1.86037
0,-2.70709,1.00271,-0.465266,0.0444239,0.0515714,0.132603,1.49041
0,-2.70709,-0.933548,-0.996015,-1.31537,-0.00101182,0.249,1.97111
0,-2.70709,0.498309,-0.993118,-0.117048,-0.117234,0.369663,1.57292
0,-2.70709,0.473288,-0.908772,0.513713,-0.138342,0.539907,1.59317
0,-2.70709,0.982088,-0.421745,1.09921,0.170015,0.272267,1.75452
0,-2.16709,0.489496,-1.40509,-2.75372,0.193134,-0.404227,2.13966
0,-2.16709,1.00847,-0.945313,-2.31755,0.207146,-0.441909,2.00706
0,-2.16709,1.48496,-0.420891,-1.81178,0.408943,-0.541466,2.2571
0,-2.16709,1.47991,0.00447549,-1.55913,0.420802,-0.563081,2.17438
0,-2.16709,0.471859,1.00946,-0.405396,0.338076,-0.591399,1.61329
0,-2.16709,0.906104,0.965819,-0.735366,0.520553,-0.641719,2.08335
0,-2.16709,0.544432,-1.47898,-2.29458,0.169718,-0.301592,2.13358
0,-2.16709,1.01479,-1.41735,-1.98965,0.326797,-0.382165,2.37679
0,-2.16709,1.49589,-0.469877,-1.37519,0.318969,-0.404316,2.12482
0,-2.16709,1.49602,-0.00762221,-1.08219,0.324982,-0.416796,2.03156
0,-2.16709,-0.0420479,0.928641,0.55058,0.272934,-0.467381,1.31058
0,-2.16709,0.486928,0.981172,0.058777,0.238345,-0.416196,1.52451
0,-2.16709,0.95807,0.933823,-0.223133,0.363307,-0.451303,1.83952
0,-2.16709,0.501654,-1.4956,-1.7984,0.101151,-0.15665,2.07362
0,-2.16709,1.03922,-1.42595,-1.50589,0.282119,-0.266965,2.33258
0,-2.16709,0.978416,-0.97976,-1.32336,0.0532025,-0.136423,1.86241
0,-2.16709,1.49777,-0.491701,-0.871796,0.255771,-0.262363,2.06549
0,-2.16709,1.4947,-0.00190649,-0.543516,0.257309,-0.266086,1.96523
0,-2.16709,0.930749,0.484672,-0.0762629,0.0303354,-0.154396,1.48459
0,-2.16709,-0.493992,0.906509,1.34703,0.441716,-0.456996,1.38068
0,-2.16709,-0.0768347,0.964933,1.10596,0.175378,-0.246223,1.31775
0,-2.16709,0.497705,0.9998,0.554844,0.179368,-0.239763,1.50014
0,-2.16709,0.938665,0.998803,0.276553,0.346157,-0.328741,1.85299
0,-2.16709,0.542408,-1.47042,-1.26233,0.0592149,-0.0254528,2.04836
0,-2.16709,0.987224,-1.46117,-1.03772,0.273495,-0.168182,2.39195
0,-2.16709,1.01902,-0.974505,-0.803898,0.0243676,-0.00385059,1.86552
0,-2.16709,1.49915,-0.488533,-0.361131,0.226107,-0.136072,2.07154
0,-2.16709,1.40489,-0.00367301,0.0402617,0.147175,-0.0643283,1.84681
0,-2.16709,0.975567,0.545181,0.475978,0.02364,0.00158528,1.52377
0,-2.16709,0.489486,0.981912,1.03138,0.117888,-0.0657277,1.47477
0,-2.16709,0.919701,1.02087,0.770235,0.380973,-0.242268,1.98116
0,-2.16709,0.579105,-1.44986,-0.731459,0.048755,0.086351,2.0781
0,-2.16709,1.02181,-0.965642,-0.290711,-1.12778e-05,0.127404,1.88128
0,-2.16709,1.47744,-0.408967,0.189399,0.252192,-0.0540275,2.17136
0,-2.16709,0.919026,-0.0398264,0.456447,-0.271542,0.346062,1.38743
0,-2.16709,1.43222,0.0614538,0.546439,0.213898,-0.0119704,1.99911
0,-2.16709,0.490624,0.494152,1.27083,-0.386877,0.45564,1.12462
0,-2.16709,0.440778,1.0096,1.61251,0.119344,0.0832279,1.51988
0,-2.16709,0.544156,-1.4588,-0.23589,0.0964783,0.146871,2.22325
0,-2.16709,0.991929,0.505771,1.46867,0.0028227,0.286022,1.61207
0,-2.16709,0.491167,0.994113,2.09028,0.167837,0.16966,1.65326
0,-2.16709,0.94976,0.537413,1.96875,0.0843496,0.320087,1.7478
0,-2.16709,0.428552,0.965737,2.43168,0.255431,0.155855,1.80541
0,-1.62709,0.999731,-1.99149,-2.6442,0.230734,-0.340486,3.13021
0,-1.62709,1.51967,-1.46908,-2.34849,0.238919,-0.36343,2.99575
0,-1.62709,1.4489,-0.963452,-2.05364,0.124646,-0.305818,2.54114
0,-1.62709,-0.936964,-0.510345,2.09607,0.435861,-0.722305,1.34394
0,-1.62709,1.98838,-0.481311,-1.83832,0.305744,-0.410582,3.0003
0,-1.62709,1.94347,-0.036047,-1.5575,0.2777,-0.401957,2.78745
0,-1.62709,-0.979008,0.431385,1.19249,0.258491,-0.547356,1.48287
0,-1.62709,-0.519723,0.475779,0.900272,-0.0153117,-0.438911,1.20803
0,-1.62709,1.44972,0.483349,-1.22164,0.166252,-0.375332,2.27679
0,-1.62709,-0.921244,0.979412,0.777816,0.351113,-0.544249,1.87247
0,-1.62709,-0.533911,0.981875,0.502587,0.202718,-0.484003,1.65233
0,-1.62709,0.423762,1.0391,-0.37643,0.110512,-0.404891,1.80556
0,-1.62709,0.994537,0.998812,-0.804025,0.181767,-0.408688,2.12127
0,-1.62709,1.44204,1.02774,-0.970738,0.309386,-0.446257,2.58332
0,-1.62709,-0.526429,1.4272,0.377492,0.406793,-0.542276,2.24951
0,-1.62709,0.00746931,1.49275,-0.0224946,0.319684,-0.496136,2.15424
0,-1.62709,0.465045,1.49393,-0.301021,0.308878,-0.475098,2.26676
0,-1.62709,0.927084,1.45926,-0.524264,0.36466,-0.476317,2.59787
0,-1.62709,-0.410317,-2.47471,-2.82127,0.206865,-0.253711,3.39195
0,-1.62709,0.00309911,-2.49394,-2.54943,0.212047,-0.246382,3.35419
0,-1.62709,-0.495506,-1.99564,-2.83732,0.0609657,-0.173363,2.88908
0,-1.62709,0.493739,-1.99194,-2.38795,0.098462,-0.206605,2.81417
0,-1.62709,1.03778,-1.91549,-2.13672,0.159019,-0.241467,2.91305
0,-1.62709,1.02258,-1.48195,-2.03176,0.0613361,-0.201034,2.55634
0,-1.62709,1.55652,-1.41904,-1.82031,0.175529,-0.260302,2.82206
0,-1.62709,1.00102,-0.986878,-1.82759,-0.0412591,-0.164756,2.21831
0,-1.62709,1.51396,-0.973012,-1.63143,0.0982141,-0.228168,2.50877
0,-1.62709,1.9981,-0.90074,-1.47812,0.268002,-0.31072,3.02594
0,-1.62709,-0.949179,-0.504096,2.59041,0.366551,-0.535025,1.29838
0,-1.62709,1.52479,-0.411187,-1.32431,0.0613999,-0.22189,2.28805
0,-1.62709,1.99595,-0.500369,-1.29847,0.224556,-0.293608,2.77585
0,-1.62709,1.97634,-0.0267776,-1.07634,0.225731,-0.300642,2.67272
0,-1.62709,-1.01375,0.436812,1.69636,0.209839,-0.386571,1.45633
0,-1.62709,-0.494635,0.493374,1.31159,-0.114485,-0.23422,1.15044
0,-1.62709,0.965805,0.486232,-0.560266,-0.0550564,-0.193911,1.78039
0,-1.62709,1.42389,0.445885,-0.729544,0.086806,-0.242029,2.14266
0,-1.62709,-0.951738,0.974866,1.29292,0.295567,-0.404065,1.80107
0,-1.62709,-0.529516,0.985831,0.995072,0.131545,-0.324424,1.58127
0,-1.62709,0.96375,0.992642,-0.238129,0.105448,-0.268476,1.99978
0,-1.62709,1.46838,1.02182,-0.454304,0.242877,-0.327077,2.44588
0,-1.62709,-0.444122,1.42388,0.858362,0.292366,-0.380652,2.01798
0,-1.62709,-0.0923519,1.48511,0.586686,0.255928,-0.361409,2.02671
0,-1.62709,0.493548,1.49397,0.189953,0.241108,-0.343942,2.15383
