v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,-0.441409,-2.50194,-3.06547,0.509279,-17.0124,2.85599
0.1,-2.70709,4.53202,2.52533,-3.05268,0.369646,-2.38792,9.20737
0.1,-2.70709,4.92504,2.51976,-3.10584,0.418001,-2.31135,9.66024
0.1,-2.70709,-2.56009,3.4657,-3.07245,0.734548,-4.38122,9.41246
0.1,-2.70709,-1.9996,4.00163,-3.04711,0.67924,-4.22662,9.26048
0.1,-2.70709,-1.48474,3.96598,-3.06246,0.50765,-4.45001,8.30137
0.1,-2.70709,1.48659,4.02289,-3.0721,0.375642,-3.06572,8.17109
0.1,-2.70709,4.98939,-4.98236,-2.38334,0.252113,-1.25485,10.4629
0.1,-2.70709,4.99585,-4.46426,-2.3737,0.212006,-1.23049,10.0077
0.1,-2.70709,-1.97833,-2.52387,-2.397,0.839708,-1.41635,3.73415
0.1,-2.70709,-0.943,-2.50147,-2.40628,0.97055,-2.58088,3.04446
0.1,-2.70709,-0.436177,-2.52215,-2.37829,1.18339,-5.18057,2.87309
0.1,-2.70709,0.994062,-2.56618,-2.35516,0.785144,-24.6378,3.72308
0.1,-2.70709,-1.42358,-2.02467,-2.41182,0.672089,-1.46366,2.85496
0.1,-2.70709,-1.0068,-1.97182,-2.40077,0.739345,-1.9546,2.51348
0.1,-2.70709,-0.5421,-2.03368,-2.3149,0.979717,-4.17467,2.20565
0.1,-2.70709,-0.988841,-1.4034,-2.36122,0.186835,-0.482917,1.96673
0.1,-2.70709,-0.558754,-1.43613,-2.3839,0.441907,-1.99449,1.73891
0.1,-2.70709,-0.476447,-1.00745,-2.28083,-0.346886,0.174149,1.30569
0.1,-2.70709,4.94575,1.46291,-2.30048,0.258536,-1.8947,8.62127
0.1,-2.70709,5.04167,1.98416,-2.33549,0.316063,-1.98293,8.90333
0.1,-2.70709,4.46567,2.53666,-2.30804,0.312148,-2.10969,8.66028
0.1,-2.70709,4.96977,2.4768,-2.38975,0.368978,-2.09117,9.17481
0.1,-2.70709,-2.06088,2.94952,-2.40838,0.419344,-4.32381,6.91511
0.1,-2.70709,3.50812,3.04497,-2.36727,0.271731,-2.18712,8.0349
0.1,-2.70709,3.94617,3.02626,-2.42906,0.322112,-2.18486,8.47775
0.1,-2.70709,4.46306,2.99825,-2.42374,0.378928,-2.2163,9.04176
0.1,-2.70709,4.93702,3.02919,-2.4198,0.442023,-2.15738,9.62416
0.1,-2.70709,-2.48003,3.58068,-2.34858,0.66007,-4.14607,8.51737
0.1,-2.70709,-1.51688,3.48549,-2.36975,0.430224,-3.73102,7.13157
0.1,-2.70709,3.93044,3.4732,-2.3006,0.380752,-2.21827,8.78186
0.1,-2.70709,4.49334,3.52178,-2.31683,0.450657,-2.19562,9.46361
0.1,-2.70709,-1.02435,3.99118,-2.35227,0.472502,-3.39867,7.59439
0.1,-2.70709,2.93727,4.00909,-2.37741,0.391649,-2.41835,8.5026
0.1,-2.70709,3.4558,3.99815,-2.35471,0.429426,-2.35244,8.93049
0.1,-2.70709,3.91193,4.03071,-2.33307,0.484218,-2.35374,9.51918
0.1,-2.70709,-0.512836,4.51564,-2.2788,0.526003,-3.21874,8.23254
0.1,-2.70709,0.504906,4.48805,-2.26762,0.44398,-2.97924,7.99804
0.1,-2.70709,0.962538,4.493,-2.36359,0.435917,-2.87972,8.12626
0.1,-2.70709,1.45926,4.50092,-2.36303,0.434761,-2.76249,8.29656
0.1,-2.70709,1.95211,4.49169,-2.31212,0.443412,-2.67261,8.53215
0.1,-2.70709,2.43193,4.49569,-2.42117,0.463695,-2.53634,8.81385
0.1,-2.70709,2.95814,4.47885,-2.33509,0.486092,-2.43182,9.13827
0.1,-2.70709,0.471857,5.00522,-2.3596,0.615432,-3.02051,9.38509
0.1,-2.70709,0.910991,4.98428,-2.33666,0.566859,-2.85986,9.0817
0.1,-2.70709,1.47526,4.99233,-2.32327,0.572227,-2.74797,9.30452
0.1,-2.70709,4.56213,-4.95797,-1.62146,0.140726,-0.769988,9.69402
0.1,-2.70709,5.02446,-4.97134,-1.57098,0.221752,-0.917227,10.2841
0.1,-2.70709,5.06375,-4.44887,-1.61031,0.168071,-0.863703,9.7236
0.1,-2.70709,-0.934186,-2.52046,-1.55513,0.957002,-1.01861,3.24088
0.1,-2.70709,-0.405733,-2.49015,-1.58395,1.14664,-1.61794,2.98377
0.1,-2.70709,-1.43728,-1.95133,-1.59255,0.584784,0.183388,2.85237
0.1,-2.70709,-0.926891,-2.00592,-1.5651,0.683832,-0.136947,2.50244
0.1,-2.70709,-0.52296,-1.97877,-1.62896,0.939933,-0.873178,2.28708
0.1,-2.70709,-0.962962,-1.47961,-1.6542,0.325358,1.23278,2.08608
0.1,-2.70709,-0.539825,-1.51161,-1.60032,0.500163,0.475157,1.76806
0.1,-2.70709,4.9638,1.05695,-1.6089,0.15577,-1.44387,8.05106
0.1,-2.70709,4.96064,1.49879,-1.57027,0.192534,-1.49024,8.13986
0.1,-2.70709,4.95776,2.03808,-1.5426,0.239284,-1.59247,8.30243
0.1,-2.70709,3.9545,2.44799,-1.6313,0.17672,-1.6883,7.61441
0.1,-2.70709,4.48749,2.46871,-1.65916,0.236099,-1.66876,8.06773
0.1,-2.70709,4.97532,2.52538,-1.52762,0.294372,-1.64898,8.54923
0.1,-2.70709,-2.51785,2.9142,-1.6051,0.495366,-3.80505,6.74458
0.1,-2.70709,-1.92006,2.96436,-1.52597,0.379334,-3.67421,6.34418
0.1,-2.70709,3.45452,2.98327,-1.65645,0.201231,-1.79902,7.51387
0.1,-2.70709,4.46952,3.0182,-1.57937,0.296586,-1.74252,8.33391
0.1,-2.70709,4.92695,3.02099,-1.60023,0.354645,-1.78776,8.85917
0.1,-2.70709,-2.51754,3.513,-1.51417,0.578433,-3.54253,7.38795
0.1,-2.70709,-2.01672,3.46302,-1.61666,0.478616,-3.38668,6.89821
0.1,-2.70709,-1.49474,3.46733,-1.602,0.384546,-3.24917,6.58177
0.1,-2.70709,2.97531,3.4786,-1.66422,0.241606,-1.9621,7.52089
0.1,-2.70709,4.02679,3.54505,-1.49243,0.334367,-1.91042,8.4134
0.1,-2.70709,4.47417,3.45991,-1.65782,0.373465,-1.81196,8.76728
0.1,-2.70709,4.97672,3.48098,-1.64119,0.437331,-1.83167,9.43114
0.1,-2.70709,-2.03085,4.01419,-1.48782,0.564719,-3.28112,7.57217
0.1,-2.70709,-1.52249,3.97918,-1.5563,0.477496,-3.07034,7.14478
0.1,-2.70709,-1.0472,4.0096,-1.48452,0.405406,-2.91759,6.91815
0.1,-2.70709,-0.506441,3.98436,-1.58682,0.353643,-2.84448,6.87009
0.1,-2.70709,1.4423,4.02468,-1.49376,0.269996,-2.28887,7.14342
0.1,-2.70709,2.40894,3.99646,-1.56235,0.292018,-2.10299,7.5702
0.1,-2.70709,2.97979,3.97389,-1.65709,0.321547,-2.02695,7.91936
0.1,-2.70709,3.45537,3.9846,-1.61229,0.362978,-1.9481,8.3132
