v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,4.47193,-4.50549,-2.64934,0.999428,-20.4992,20.7814
0.1,-2.70709,4.53952,-3.93464,-2.06065,1.34492,-14.1034,20.3411
0.1,-2.70709,2.93141,-4.98404,-1.46352,1.15582,-3.9406,19.1226
0.1,-2.70709,4.9756,-5.00699,-1.42524,1.409,-7.61064,17.5895
0.1,-2.70709,2.53041,-4.51915,-1.60352,1.13481,-3.94071,20.3129
0.1,-2.70709,3.54991,-4.5265,-1.49334,1.28838,-5.41872,19.2871
0.1,-2.70709,4.9122,-4.49064,-1.5,1.43231,-8.3567,18.3023
0.1,-2.70709,2.46434,-3.96554,-1.49746,1.152,-3.8241,20.2492
0.1,-2.70709,3.95411,-3.93823,-1.46403,1.38337,-6.81824,19.3773
0.1,-2.70709,4.44609,-3.94266,-1.47609,1.43666,-8.06817,19.0753
0.1,-2.70709,3.91767,-3.05328,-1.51026,1.47639,-8.85284,19.9818
0.1,-2.70709,1.50981,-4.93349,-0.910791,0.934192,-1.73086,17.9741
0.1,-2.70709,1.9201,-5.05026,-1,0.993071,-2.0618,17.8751
0.1,-2.70709,3.05407,-5.04158,-0.942375,1.19136,-3.23969,17.457
0.1,-2.70709,3.49176,-4.97789,-1.01509,1.2385,-3.76171,17.432
0.1,-2.70709,3.93007,-4.95092,-0.964015,1.31656,-4.41708,17.1439
0.1,-2.70709,4.44164,-5.0389,-0.95,1.38921,-5.0289,16.706
0.1,-2.70709,4.94668,-5.00658,-0.941714,1.46092,-5.86894,16.1786
0.1,-2.70709,1.98451,-4.45595,-0.899123,1.02863,-2.14266,18.1896
0.1,-2.70709,2.46992,-4.58828,-0.962004,1.1125,-2.73985,18.1178
0.1,-2.70709,4.97597,-4.45791,-0.949263,1.49719,-6.50083,16.6521
0.1,-2.70709,1.96148,-4.01568,-0.979332,1.04899,-2.32158,18.7877
0.1,-2.70709,2.5261,-4.02247,-0.93796,1.16068,-2.9938,18.5565
0.1,-2.70709,3.01938,-2.93794,-0.905233,1.36379,-4.46655,19.1327
0.1,-2.70709,3.94899,-3.0278,-0.969111,1.49953,-6.16961,18.526
0.1,-2.70709,3.43208,-2.47558,-0.982689,1.51603,-6.0298,19.231
0.1,-2.70709,3.99229,-2.56605,-0.95,1.57263,-7.216,18.6678
0.1,-2.70709,4.51378,-2.54827,-0.980549,1.65917,-8.4506,18.3135
0.1,-2.70709,4.97281,-2.52578,-0.95,1.70458,-9.38904,17.87
0.1,-2.70709,4.06014,-1.99578,-0.964851,1.70223,-8.80261,18.8921
0.1,-2.70709,5.06121,-1.45124,-1,1.90571,-13.9435,18.3431
0.1,-2.70709,3.55865,-0.977781,-1.04138,1.88626,-13.0434,19.8126
0.1,-2.70709,4.44969,-0.971512,-1.00245,1.94851,-14.5606,18.9434
0.1,-2.70709,3.46531,-0.528072,-0.90141,1.97655,-16.768,19.5703
0.1,-2.70709,4.49982,-0.503143,-1.05,2.01824,-19.4823,19.097
0.1,-2.70709,3.91229,0.478196,-1,2.20027,-28.8595,19.3358
0.1,-2.70709,4.02803,1.08312,-1,1.99589,-43.6875,19.0254
0.1,-2.70709,1.51718,-5.05277,-0.415037,0.993265,-1.51443,16.2431
0.1,-2.70709,1.96921,-5.05333,-0.409824,1.05467,-1.7977,16.1494
0.1,-2.70709,2.5075,-4.90134,-0.434053,1.1408,-2.22428,16.1931
0.1,-2.70709,3.51592,-4.97455,-0.438225,1.30023,-3.16243,15.604
0.1,-2.70709,0.967112,-4.54686,-0.384512,0.90922,-1.21582,17.0003
0.1,-2.70709,1.47468,-4.49602,-0.348596,0.993699,-1.51147,16.7855
0.1,-2.70709,3.07394,-4.53252,-0.388827,1.26693,-2.81634,16.0905
0.1,-2.70709,4.01725,-4.42445,-0.436781,1.44123,-3.98846,15.7614
0.1,-2.70709,1.05777,-3.98222,-0.367312,0.939631,-1.28931,17.3992
0.1,-2.70709,2.0548,-4.06129,-0.393801,1.13302,-2.09914,17.2399
0.1,-2.70709,3.00499,-4.04237,-0.416193,1.30821,-3.03814,16.5662
0.1,-2.70709,1.45619,-3.54182,-0.441287,1.03189,-1.68285,17.7987
0.1,-2.70709,2.0077,-3.54694,-0.399235,1.1517,-2.18612,17.5789
0.1,-2.70709,3.91765,-3.46995,-0.471248,1.49882,-4.48889,16.694
0.1,-2.70709,2.48599,-2.51335,-0.35403,1.38864,-3.50818,18.022
0.1,-2.70709,3.05765,-2.49437,-0.397152,1.49085,-4.17859,17.7734
0.1,-2.70709,3.5462,-2.57627,-0.4,1.60861,-5.31852,17.5259
0.1,-2.70709,4.94943,-1.99377,-0.420326,1.92762,-8.61141,16.3714
0.1,-2.70709,3.04503,-0.473761,-0.45,2.04635,-10.1224,18.6922
0.1,-2.70709,4.02264,-0.464489,-0.445901,2.17871,-11.6161,17.8541
0.1,-2.70709,3.00298,-0.0215952,-0.4,2.24867,-12.7565,18.5877
0.1,-2.70709,3.54472,0.0623984,-0.4,2.32721,-14.2863,18.0628
0.1,-2.70709,4.48067,-0.0527487,-0.45,2.38351,-15.6634,17.3245
0.1,-2.70709,5.04915,-0.0215952,-0.4,2.48619,-17.0927,16.5032
0.1,-2.70709,3.49445,0.563424,-0.4,2.41356,-18.568,18.2618
0.1,-2.70709,4.53487,0.925809,-0.45,2.6689,-24.475,17.3322
0.1,-2.70709,0.58094,-4.96702,0.121671,0.883976,-0.783377,15.4737
0.1,-2.70709,1.08689,-5.03119,0.136543,0.964731,-1.02171,15.2609
0.1,-2.70709,1.44531,-4.97751,0.0639104,1.02344,-1.22204,15.2336
0.1,-2.70709,1.9715,-4.96893,0.102005,1.12247,-1.54803,14.9578
0.1,-2.70709,0.573563,-4.48546,0.139615,0.904045,-0.880407,16.0752
0.1,-2.70709,2.07923,-4.47638,0.15,1.21607,-1.81043,15.418
0.1,-2.70709,2.54101,-4.55563,0.1,1.28217,-2.1166,15.1774
0.1,-2.70709,0.544806,-4.0164,0.0848714,0.911685,-0.906208,16.5455
0.1,-2.70709,1.0707,-4.06593,0.100581,1.02867,-1.23351,16.3117
0.1,-2.70709,2.51973,-4.05858,0.126974,1.30828,-2.24768,15.4912
